Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,imagePainter,image:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,linePainter,line:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getTorso,get:torso
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,limbsPainter,limbs:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArms,get:arms
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getLegs,get:legs
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,stringPainter,string:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getStringShape,get:string:shape
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,imagePainter,image:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getRobin,get:robin
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,linePainter,line:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getTorso,get:torso
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getRobin,get:robin
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,limbsPainter,limbs:painter
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArms,get:arms
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getRobin,get:robin
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getLegs,get:legs
grail.MVC.BridgePaintView,bridge:paint:view,@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER,comp:tags:inheriting:bridge:scene:painter,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.ANGLE:Component:@Comp301Tags.INHERITING_BRIDGE_SCENE_PAINTER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:locatable:property:listener:comp:tags:angle:component:comp:tags:inheriting:bridge:scene:painter:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getRobin,get:robin
